nazwa,dzielnica,pokoj,metry,cena_metr,cena
Na sprzedaż mieszkania od 139000zł – Podgórze!," Kraków, Bieżanów-Prokocim",1 pokój,"17,50 m²",7 943 zł/m²,139000zł
Bezprowizyjna kawalerka na Swoszowicach," Kraków, Wróblowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
Bezprowizyjna kawalerka na Wróblowicach," Kraków, Wróblowice",1 pokój,"15,88 m²",8 942 zł/m²,142000zł
"Studio, ul. Niewodniczańskiego, Swoszowice"," Kraków, Swoszowice",1 pokój,10 m²,11 700 zł/m²,117000zł
"Nowoczesna kawalerka, Swoszowice"," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
"Kawalerka, ul. Niewodniczańskiego, Swoszowice"," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
"Studio, ul. Niewodniczańskiego, Swoszowice"," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
"Studio, ul. Niewodniczańskiego, Swoszowice"," Kraków, Swoszowice",1 pokój,12 m²,9 750 zł/m²,117000zł
"Nowa kawalerka, Swoszowice, Kraków"," Kraków, Swoszowice",1 pokój,11 m²,10 636 zł/m²,117000zł
Bezprowizyjne kawalerki na Swoszowicach," Kraków, Wróblowice",1 pokój,12 m²,9 750 zł/m²,117000zł
"Kraków, Swoszowice. Nowa kawalerka. Nie przegap !"," Kraków, Swoszowice",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
"Kraków , Swoszowice Nie Przegap: nowa kawalerka!"," Kraków, Swoszowice",1 pokój,"8,30 m²",11 928 zł/m²,99000zł
"Kraków , Swoszowice Nie Przegap - nowa kawalerka"," Kraków, Swoszowice",1 pokój,"7,42 m²",13 342 zł/m²,99000zł
"Mieszkanie, 15,88 m², Kraków"," Kraków, Swoszowice",1 pokój,"15,88 m²",8 942 zł/m²,142000zł
"Mieszkanie, 13 m², Kraków"," Kraków, Swoszowice",1 pokój,13 m²,7 615 zł/m²,99000zł
"Kraków, Swoszowice. Nowa kawalerka - nie przegap!"," Kraków, Swoszowice",1 pokój,"15,88 m²",8 942 zł/m²,142000zł
nowa kawalerka w spokojnej okolicy," Kraków, Swoszowice",1 pokój,16 m²,8 875 zł/m²,142000zł
nowa kawalerka ze skosami w spokojnej okolicy," Kraków, Swoszowice",1 pokój,16 m²,6 188 zł/m²,99000zł
"Kawalerka najtańsze 15,75m2 w Krakowie !"," Kraków, małopolskie",1 pokój,"15,75 m²",9 016 zł/m²,142000zł
"Kawalerka 15m2 , 99 000 zł"," Kraków, małopolskie",1 pokój,15 m²,6 600 zł/m²,99000zł
"Duże, ładne mieszkanie z systemu Tbs"," Kraków, Płaszów",3 pokoje,70 m²,2 143 zł/m²,150000zł
"Mieszkanie, 46 m², Kraków"," Kraków, Złocień",2 pokoje,46 m²,6 500 zł/m²,299000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
"Daszyńskiego 3 pokoje, 69m2 + strych i 2 piwnice"," Kraków, Grzegórzki",3 pokoje,69 m²,10 000 zł/m²,690000zł
Komfortowy apartament 72m2 w ok BONARKI / 4 pokoje," Kraków, Podgórze Duchackie",4 pokoje,72 m²,6 418 zł/m²,462114zł
2 pok |Kazimierz|Widok na Wisłę |Stan deweloperski," Kraków, Kazimierz",2 pokoje,"37,56 m²",14 909 zł/m²,560000zł
INWESTYCYJNE 29 Listopada Blisko Centrum 3 Pokoje," Kraków, małopolskie",3 pokoje,39 m²,5 769 zł/m²,225000zł
Zamieszkaj Przy Bulwarach Wiślanych! Okazja," Kraków, Dębniki",2 pokoje,43 m²,9 674 zł/m²,416000zł
Zamieszkaj przy Bulwarach Wiślanych! Tylko Teraz!!," Kraków, Dębniki",2 pokoje,44 m²,9 705 zł/m²,427000zł
Bajkowy Apartament nad Brzegiem Wisły!1km na Wawel," Kraków, Dębniki",3 pokoje,57 m²,9 158 zł/m²,522000zł
